model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs
Prophet,Y319,55.95,42.91,15321.73,0
Last Value,Y320,7.33,7.01,1850.37,0
Mean Value,Y320,15.32,14.17,3706.0,0
Random Walk,Y320,11.39,10.58,2801.93,0
Arima,Y320,7.13,6.82,1801.66,0
Theta,Y320,8.95,9.47,1924.73,0
Prophet,Y320,16.75,15.41,4024.18,0
Last Value,Y321,23.9,21.07,14384.39,0
Mean Value,Y321,73.02,53.37,35647.18,0
Random Walk,Y321,26.6,23.15,13354.34,0
Arima,Y321,23.69,20.91,14271.57,0
Theta,Y321,119.5,74.8,49644.11,0
Prophet,Y321,122.64,75.97,50537.9,0
Last Value,Y322,3.16,3.12,961.59,0
Mean Value,Y322,25.68,22.73,6967.74,0
Random Walk,Y322,4.8,4.92,1480.38,0
Arima,Y322,3.14,3.1,955.92,0
Theta,Y322,67.78,50.62,15478.93,0
Prophet,Y322,34.48,29.19,8942.87,0
Last Value,Y323,6.55,6.26,688.7,0
Mean Value,Y323,58.19,45.04,4835.54,0
Random Walk,Y323,8.76,9.18,962.91,0
Arima,Y323,7.58,7.23,791.57,0
Theta,Y323,117.57,73.97,7937.0,0
Prophet,Y323,42.79,35.2,3783.3,0
Last Value,Y324,3.99,3.87,385.2,0
Mean Value,Y324,8.51,8.94,857.2,0
Random Walk,Y324,10.91,10.0,997.08,0
Arima,Y324,3.55,3.44,343.97,0
Theta,Y324,12.1,11.43,1131.44,0
Prophet,Y324,3.81,3.79,252.12,0
Last Value,Y325,4.94,4.78,437.57,0
Mean Value,Y325,6.2,5.97,544.46,0
Random Walk,Y325,2.32,2.27,195.02,0
Arima,Y325,4.84,4.69,428.98,0
Theta,Y325,22.52,26.85,2383.03,0
Prophet,Y325,7.12,6.84,622.02,0
Last Value,Y326,11.12,10.2,828.96,0
Mean Value,Y326,23.43,20.69,1618.84,0
Random Walk,Y326,11.64,10.86,650.06,0
Arima,Y326,10.68,9.83,798.72,0
Theta,Y326,29.37,34.45,2616.49,0
Prophet,Y326,8.71,9.07,663.0,0
Last Value,Y327,19.12,17.17,7826.44,0
Mean Value,Y327,28.37,24.6,11076.06,0
Random Walk,Y327,36.13,28.61,13156.77,0
Arima,Y327,27.34,23.66,10728.56,0
Theta,Y327,46.57,35.68,16263.05,0
Prophet,Y327,43.03,35.08,15721.82,0
Last Value,Y328,21.33,18.81,5723.15,0
Mean Value,Y328,78.93,56.43,16405.54,0
Random Walk,Y328,16.73,14.99,4390.17,0
Arima,Y328,22.36,25.73,4610.87,0
Theta,Y328,132.82,79.81,22995.04,0
Prophet,Y328,75.8,54.8,15939.6,0
Last Value,Y329,8.92,8.41,5540.79,0
Mean Value,Y329,76.04,55.03,35015.45,0
Random Walk,Y329,2.86,2.8,1360.68,0
Arima,Y329,2.86,2.86,1525.97,0
Theta,Y329,92.37,63.17,40113.9,0
Prophet,Y329,98.3,65.83,41815.72,0
Last Value,Y330,17.46,15.62,7303.05,0
Mean Value,Y330,13.02,11.91,5610.33,0
Random Walk,Y330,26.08,22.5,10351.86,0
Arima,Y330,17.68,15.8,7383.17,0
Theta,Y330,43.97,36.04,15875.96,0
Prophet,Y330,49.11,39.09,17566.92,0
Last Value,Y331,9.64,9.12,7407.32,0
Mean Value,Y331,81.21,57.74,46171.74,0
Random Walk,Y331,10.2,10.91,8739.57,0
Arima,Y331,3.27,3.2,1895.09,0
Theta,Y331,151.45,86.18,68837.1,0
Prophet,Y331,149.87,85.66,68433.57,0
Last Value,Y332,19.77,17.66,8472.01,0
Mean Value,Y332,32.41,27.62,13023.83,0
Random Walk,Y332,17.22,15.49,7466.3,0
Arima,Y332,18.13,16.29,7843.71,0
Theta,Y332,43.4,35.54,16213.57,0
Prophet,Y332,46.21,37.32,17458.28,0
Last Value,Y333,5.13,4.9,1340.26,0
Mean Value,Y333,24.22,21.53,5687.4,0
Random Walk,Y333,7.61,7.06,1873.33,0
Arima,Y333,4.01,3.85,1059.72,0
Theta,Y333,70.62,52.09,13697.86,0
Prophet,Y333,69.35,51.44,13512.55,0
Last Value,Y334,33.43,27.29,20305.59,0
Mean Value,Y334,59.54,45.01,31631.83,0
Random Walk,Y334,25.67,21.83,15630.32,0
Arima,Y334,34.34,28.0,20735.34,0
Theta,Y334,90.94,61.27,42699.38,0
Prophet,Y334,32.93,27.29,18985.58,0
Last Value,Y335,17.44,15.85,9776.72,0
Mean Value,Y335,53.92,42.36,25650.28,0
Random Walk,Y335,7.71,7.47,2729.85,0
Arima,Y335,3.78,3.68,1573.44,0
Theta,Y335,123.36,76.23,45806.08,0
Prophet,Y335,99.42,66.15,40019.61,0
Last Value,Y336,12.95,12.07,830.24,0
Mean Value,Y336,5.5,5.26,369.32,0
Random Walk,Y336,16.29,14.78,1022.6,0
Arima,Y336,11.53,10.81,745.32,0
Theta,Y336,27.3,23.69,1615.0,0
Prophet,Y336,17.57,16.07,1099.91,0
Last Value,Y337,10.2,9.65,5010.42,0
Mean Value,Y337,31.93,27.5,14158.03,0
Random Walk,Y337,3.07,3.01,1150.87,0
Arima,Y337,8.33,7.94,4136.21,0
Theta,Y337,67.17,50.27,25810.35,0
Prophet,Y337,49.31,39.54,20315.01,0
Last Value,Y338,10.84,10.2,4105.94,0
Mean Value,Y338,33.44,28.59,11369.59,0
Random Walk,Y338,6.62,6.37,2437.43,0
Arima,Y338,4.35,4.25,1158.32,0
Theta,Y338,36.05,30.33,11904.03,0
Prophet,Y338,42.26,34.83,13835.7,0
Last Value,Y339,1.36,1.35,333.81,0
Mean Value,Y339,43.94,36.02,8818.47,0
Random Walk,Y339,6.06,6.41,1309.66,0
Arima,Y339,5.69,5.88,1249.19,0
Theta,Y339,72.69,53.21,13010.56,0
Prophet,Y339,40.25,33.5,8201.53,0
Last Value,Y340,43.92,35.25,15237.27,0
Mean Value,Y340,50.9,39.9,17095.99,0
Random Walk,Y340,44.73,35.77,15460.96,0
Arima,Y340,45.1,36.08,15558.26,0
Theta,Y340,21.03,18.6,6939.2,0
Prophet,Y340,44.7,35.82,15447.72,0
Last Value,Y341,10.65,9.95,995.89,0
Mean Value,Y341,11.79,10.98,1095.49,0
Random Walk,Y341,33.08,27.57,2727.32,0
Arima,Y341,8.32,7.88,788.13,0
Theta,Y341,22.95,20.58,1993.87,0
Prophet,Y341,47.81,38.47,3750.29,0
Last Value,Y342,4.83,4.68,709.04,0
Mean Value,Y342,3.1,3.14,464.05,0
Random Walk,Y342,2.52,2.48,373.1,0
Arima,Y342,4.8,4.65,704.63,0
Theta,Y342,32.6,27.35,4113.42,0
Prophet,Y342,7.93,7.58,1139.49,0
Last Value,Y343,3.71,3.63,673.06,0
Mean Value,Y343,18.12,16.6,3051.74,0
Random Walk,Y343,6.14,6.04,882.87,0
Arima,Y343,3.36,3.3,609.79,0
Theta,Y343,63.67,48.03,8822.32,0
Prophet,Y343,41.66,34.47,6325.93,0
Last Value,Y344,7.37,6.97,2297.07,0
Mean Value,Y344,19.01,17.13,5485.38,0
Random Walk,Y344,6.62,7.05,2027.98,0
Arima,Y344,7.15,6.76,2230.64,0
Theta,Y344,32.09,27.09,8593.66,0
Prophet,Y344,21.59,19.3,6142.22,0
Last Value,Y345,7.95,7.6,6186.99,0
Mean Value,Y345,71.2,52.49,42247.35,0
Random Walk,Y345,5.24,5.16,2890.42,0
Arima,Y345,2.69,2.64,1695.76,0
Theta,Y345,147.68,84.95,68307.08,0
Prophet,Y345,67.28,49.31,39859.09,0
Last Value,Y346,20.17,18.06,2707.27,0
Mean Value,Y346,28.84,24.98,3704.92,0
Random Walk,Y346,21.6,19.3,2860.65,0
Arima,Y346,20.06,17.97,2694.5,0
Theta,Y346,50.02,40.01,5822.36,0
Prophet,Y346,46.78,37.73,5545.56,0
Last Value,Y347,2.81,2.84,846.98,0
Mean Value,Y347,3.2,3.27,966.63,0
Random Walk,Y347,12.55,13.74,3943.73,0
Arima,Y347,3.27,3.37,988.29,0
Theta,Y347,10.98,10.3,3148.57,0
Prophet,Y347,5.64,5.86,1734.57,0
Last Value,Y348,5.7,5.94,787.72,0
Mean Value,Y348,24.88,22.06,3025.66,0
Random Walk,Y348,10.04,10.85,1435.93,0
Arima,Y348,6.65,6.99,925.45,0
Theta,Y348,38.01,31.66,4352.57,0
Prophet,Y348,15.22,14.07,1938.78,0
Last Value,Y349,7.22,6.91,1006.3,0
Mean Value,Y349,22.94,20.52,2952.57,0
Random Walk,Y349,14.34,13.17,1914.74,0
Arima,Y349,6.58,6.33,920.55,0
Theta,Y349,76.49,55.32,7919.91,0
Prophet,Y349,40.04,33.33,4779.02,0
Last Value,Y350,2.77,2.71,600.59,0
Mean Value,Y350,59.18,45.66,9984.53,0
Random Walk,Y350,9.27,8.72,1928.12,0
Arima,Y350,2.52,2.47,548.32,0
Theta,Y350,138.93,81.98,17920.81,0
Prophet,Y350,103.77,68.28,14916.38,0
Last Value,Y351,9.53,8.95,967.83,0
Mean Value,Y351,10.08,9.46,1020.36,0
Random Walk,Y351,16.76,14.93,1599.19,0
Arima,Y351,7.03,6.72,726.19,0
Theta,Y351,19.13,17.45,1824.9,0
Prophet,Y351,45.17,36.73,3865.24,0
Last Value,Y352,2.58,2.56,182.99,0
Mean Value,Y352,2.49,2.48,176.55,0
Random Walk,Y352,4.52,4.63,294.37,0
Arima,Y352,2.6,2.58,178.89,0
Theta,Y352,36.4,30.76,2182.14,0
Prophet,Y352,16.86,15.53,1102.63,0
Last Value,Y353,6.01,5.81,552.38,0
Mean Value,Y353,41.82,52.93,4978.4,0
Random Walk,Y353,14.37,16.35,1556.98,0
Arima,Y353,7.22,6.93,658.44,0
Theta,Y353,69.67,107.5,10140.75,0
Prophet,Y353,42.16,54.15,5116.84,0
Last Value,Y354,10.41,9.81,7927.73,0
Mean Value,Y354,85.23,59.74,47508.2,0
Random Walk,Y354,23.8,20.77,16807.23,0
Arima,Y354,4.27,4.16,2947.55,0
Theta,Y354,158.74,88.45,70326.63,0
Prophet,Y354,132.43,79.61,63250.72,0
Last Value,Y355,9.02,8.6,1016.74,0
Mean Value,Y355,37.55,31.6,3713.18,0
Random Walk,Y355,11.63,10.87,1289.05,0
Arima,Y355,9.11,8.69,1026.57,0
Theta,Y355,70.38,52.03,6112.26,0
Prophet,Y355,77.78,55.98,6573.72,0
Last Value,Y356,4.29,4.39,671.96,0
Mean Value,Y356,5.64,5.85,891.28,0
Random Walk,Y356,12.87,14.1,1955.41,0
Arima,Y356,3.73,3.8,582.35,0
Theta,Y356,43.56,34.89,5464.18,0
Prophet,Y356,53.2,42.01,6519.97,0
Last Value,Y357,1.33,1.33,122.29,0
Mean Value,Y357,24.55,21.86,2018.89,0
Random Walk,Y357,3.9,3.91,361.59,0
Arima,Y357,1.45,1.46,134.21,0
Theta,Y357,69.49,51.57,4759.91,0
Prophet,Y357,57.87,44.87,4140.83,0
Last Value,Y358,3.5,3.44,1266.71,0
Mean Value,Y358,57.24,44.49,16268.4,0
Random Walk,Y358,6.09,5.98,2216.62,0
Arima,Y358,3.17,3.3,1176.27,0
Theta,Y358,152.75,86.58,31639.04,0
Prophet,Y358,124.43,76.67,27997.87,0
Last Value,Y359,16.32,14.65,1181.78,0
Mean Value,Y359,14.86,13.4,1086.68,0
Random Walk,Y359,21.84,18.45,1505.03,0
Arima,Y359,16.47,14.79,1191.74,0
Theta,Y359,56.01,43.75,3315.31,0
Prophet,Y359,59.41,45.52,3503.62,0
Last Value,Y360,3.48,3.36,1661.16,0
Mean Value,Y360,17.67,16.17,7738.67,0
Random Walk,Y360,16.14,14.62,6861.49,0
Arima,Y360,3.41,3.32,1628.15,0
Theta,Y360,64.87,48.92,23267.28,0
Prophet,Y360,60.91,46.65,22176.48,0
Last Value,Y361,19.83,17.89,7110.53,0
Mean Value,Y361,46.54,37.66,14788.55,0
Random Walk,Y361,21.33,18.99,7582.45,0
Arima,Y361,18.66,16.91,6729.72,0
Theta,Y361,57.26,44.48,17408.73,0
Prophet,Y361,40.87,33.83,13300.3,0
Last Value,Y362,11.52,10.78,3242.06,0
Mean Value,Y362,29.34,25.5,7560.11,0
Random Walk,Y362,9.36,8.84,2259.71,0
Arima,Y362,9.6,9.06,2731.23,0
Theta,Y362,78.13,54.32,16123.46,0
Prophet,Y362,7.0,6.67,1389.81,0
Last Value,Y363,3.07,3.03,280.71,0
Mean Value,Y363,22.22,19.97,1841.07,0
Random Walk,Y363,6.35,6.67,603.52,0
Arima,Y363,2.5,2.55,228.03,0
Theta,Y363,51.71,41.02,3776.88,0
Prophet,Y363,29.94,26.03,2394.48,0
Last Value,Y364,1.86,1.84,150.14,0
Mean Value,Y364,33.19,28.46,2309.06,0
Random Walk,Y364,4.31,4.31,349.7,0
Arima,Y364,0.18,0.18,14.87,0
Theta,Y364,77.12,55.66,4513.22,0
Prophet,Y364,48.42,38.79,3147.43,0
Last Value,Y365,3.83,3.74,620.69,0
Mean Value,Y365,45.53,37.08,6091.03,0
Random Walk,Y365,6.61,6.25,1029.56,0
Arima,Y365,0.47,0.47,71.46,0
Theta,Y365,88.38,61.29,10061.67,0
Prophet,Y365,42.26,34.36,5648.89,0
Last Value,Y366,9.45,8.94,1344.46,0
Mean Value,Y366,36.5,30.81,4561.12,0
Random Walk,Y366,2.05,2.02,302.45,0
Arima,Y366,0.28,0.28,42.16,0
Theta,Y366,59.63,45.93,6760.14,0
Prophet,Y366,0.45,0.45,66.6,0
Last Value,Y367,6.82,7.13,7591.81,0
Mean Value,Y367,75.73,54.91,59656.21,0
Random Walk,Y367,6.48,6.21,6393.29,0
Arima,Y367,24.03,27.61,29972.95,0
Theta,Y367,132.08,79.52,86290.04,0
Prophet,Y367,38.15,32.01,34823.83,0
Last Value,Y368,38.32,31.45,32036.22,0
Mean Value,Y368,116.58,73.27,70331.08,0
Random Walk,Y368,45.88,36.11,36824.24,0
Arima,Y368,17.56,16.62,13852.53,0
Theta,Y368,122.9,75.98,72290.35,0
Prophet,Y368,91.1,61.93,60209.94,0
Last Value,Y369,21.79,19.11,28068.66,0
Mean Value,Y369,96.38,64.9,90407.9,0
Random Walk,Y369,23.51,20.53,29914.91,0
Arima,Y369,11.6,10.73,13250.85,0
Theta,Y369,136.19,81.02,111914.94,0
Prophet,Y369,142.99,83.34,115522.69,0
Last Value,Y370,77.08,51.74,21157.02,0
Mean Value,Y370,45.2,41.19,14364.4,0
Random Walk,Y370,90.74,57.5,23342.16,0
Arima,Y370,79.47,53.27,21529.95,0
Theta,Y370,43.78,35.43,12650.97,0
Prophet,Y370,50.59,42.98,15688.76,0
Last Value,Y371,16.29,18.13,3179.33,0
Mean Value,Y371,71.68,52.68,9694.48,0
Random Walk,Y371,24.48,29.01,5076.76,0
Arima,Y371,25.87,30.78,5405.81,0
Theta,Y371,171.1,92.21,16879.28,0
Prophet,Y371,154.84,87.25,15980.4,0
Last Value,Y372,16.97,15.42,9440.69,0
Mean Value,Y372,107.53,69.89,41615.38,0
Random Walk,Y372,21.14,18.59,11443.53,0
Arima,Y372,1.27,1.26,760.67,0
Theta,Y372,171.55,92.34,54869.97,0
Prophet,Y372,147.07,84.69,50343.97,0
Last Value,Y373,23.54,21.0,9389.35,0
Mean Value,Y373,113.79,72.52,32230.76,0
Random Walk,Y373,14.16,13.11,5856.65,0
Arima,Y373,22.51,20.17,9019.57,0
Theta,Y373,120.86,75.3,33417.41,0
Prophet,Y373,69.2,51.39,22857.43,0
Last Value,Y374,26.46,22.47,12513.65,0
Mean Value,Y374,60.35,45.86,24092.67,0
Random Walk,Y374,35.8,28.34,15986.93,0
Arima,Y374,24.02,20.52,11543.82,0
Theta,Y374,109.46,70.67,36220.9,0
Prophet,Y374,94.33,63.82,33002.61,0
Last Value,Y375,18.33,16.57,2971.92,0
Mean Value,Y375,77.28,55.66,9740.86,0
Random Walk,Y375,21.99,19.57,3494.52,0
Arima,Y375,10.4,9.81,1435.06,0
Theta,Y375,116.57,73.64,12841.11,0
Prophet,Y375,66.83,49.42,8661.37,0
Last Value,Y376,28.98,24.46,7939.72,0
Mean Value,Y376,70.95,51.96,16012.16,0
Random Walk,Y376,23.17,20.18,5960.56,0
Arima,Y376,23.97,20.7,6577.48,0
Theta,Y376,93.88,63.82,19359.83,0
Prophet,Y376,67.21,49.88,15394.92,0
Last Value,Y377,22.02,19.56,2827.31,0
Mean Value,Y377,87.59,60.61,8371.3,0
Random Walk,Y377,30.69,26.28,3420.3,0
Arima,Y377,22.52,19.93,2884.43,0
Theta,Y377,107.64,69.89,9564.04,0
Prophet,Y377,58.86,44.21,6237.71,0
Last Value,Y378,7.72,7.4,4985.31,0
Mean Value,Y378,91.73,62.88,42054.9,0
Random Walk,Y378,9.91,10.69,6962.95,0
Arima,Y378,5.47,5.7,3073.64,0
Theta,Y378,171.76,92.4,61764.18,0
Prophet,Y378,77.04,54.28,36353.79,0
Last Value,Y379,7.16,7.31,1890.59,0
Mean Value,Y379,28.85,24.99,6836.83,0
Random Walk,Y379,40.14,32.17,8935.22,0
Arima,Y379,11.95,12.84,2902.07,0
Theta,Y379,20.04,19.76,5203.38,0
Prophet,Y379,49.45,39.34,10701.01,0
Last Value,Y380,28.57,24.38,6487.17,0
Mean Value,Y380,114.61,72.74,18429.87,0
Random Walk,Y380,30.93,25.67,6917.0,0
Arima,Y380,7.75,7.4,1289.57,0
Theta,Y380,165.61,90.59,22817.08,0
Prophet,Y380,72.92,53.19,13585.57,0
Last Value,Y381,15.02,13.78,2450.84,0
Mean Value,Y381,74.49,54.2,9396.11,0
Random Walk,Y381,22.24,19.29,3457.05,0
Arima,Y381,13.04,12.03,2151.88,0
Theta,Y381,112.61,72.04,12442.19,0
Prophet,Y381,56.86,44.19,7672.1,0
Last Value,Y382,31.4,27.14,30114.2,0
Mean Value,Y382,124.43,76.4,80985.96,0
Random Walk,Y382,37.37,31.73,32811.86,0
Arima,Y382,9.88,11.19,8123.85,0
Theta,Y382,130.75,78.96,83012.0,0
Prophet,Y382,93.84,63.27,68003.9,0
Last Value,Y383,18.42,16.28,24369.39,0
Mean Value,Y383,93.22,63.43,88849.42,0
Random Walk,Y383,18.42,16.2,21897.8,0
Arima,Y383,10.07,9.38,12184.85,0
Theta,Y383,144.45,83.83,116781.55,0
Prophet,Y383,141.54,82.84,115401.94,0
Last Value,Y384,11.96,11.01,3259.88,0
Mean Value,Y384,83.36,58.74,16561.19,0
Random Walk,Y384,13.72,12.38,3530.28,0
Arima,Y384,11.07,11.74,2507.86,0
Theta,Y384,140.01,82.35,23087.11,0
Prophet,Y384,116.48,73.55,20677.58,0
Last Value,Y385,12.95,11.97,4267.69,0
Mean Value,Y385,99.63,66.46,22959.06,0
Random Walk,Y385,25.85,22.23,7898.75,0
Arima,Y385,1.71,1.68,613.28,0
Theta,Y385,177.74,94.11,32432.35,0
Prophet,Y385,148.07,85.02,29318.24,0
Last Value,Y386,19.08,17.21,12629.89,0
Mean Value,Y386,115.34,73.12,52382.04,0
Random Walk,Y386,17.95,16.26,11870.59,0
Arima,Y386,19.83,17.83,13074.63,0
Theta,Y386,178.93,94.44,67520.59,0
Prophet,Y386,177.46,94.02,67252.63,0
Last Value,Y387,31.91,26.34,19630.11,0
Mean Value,Y387,120.14,74.81,50832.62,0
Random Walk,Y387,29.45,25.0,14903.82,0
Arima,Y387,13.21,12.35,7635.31,0
Theta,Y387,168.35,91.41,61260.62,0
Prophet,Y387,159.27,88.6,59637.64,0
Last Value,Y388,8.05,7.73,5065.31,0
Mean Value,Y388,72.46,53.14,34338.12,0
Random Walk,Y388,12.74,11.95,6813.33,0
Arima,Y388,2.5,2.52,1470.14,0
Theta,Y388,129.77,78.7,50701.22,0
Prophet,Y388,42.74,35.15,22769.03,0
Last Value,Y389,5.69,5.48,706.48,0
Mean Value,Y389,51.62,40.98,5155.79,0
Random Walk,Y389,5.94,5.64,724.46,0
Arima,Y389,3.6,3.57,447.33,0
Theta,Y389,102.94,67.94,8511.52,0
Prophet,Y389,38.81,32.45,4087.31,0
Last Value,Y390,32.18,27.33,13272.26,0
Mean Value,Y390,145.35,84.15,39667.73,0
Random Walk,Y390,15.99,14.75,5163.51,0
Arima,Y390,19.33,22.1,9067.4,0
Theta,Y390,196.14,99.02,46610.77,0
Prophet,Y390,169.19,91.63,43120.75,0
Last Value,Y391,26.87,23.17,16709.12,0
Mean Value,Y391,103.06,67.89,46971.75,0
Random Walk,Y391,22.65,20.01,14116.02,0
Arima,Y391,17.48,15.83,9870.94,0
Theta,Y391,152.96,86.66,59453.83,0
Prophet,Y391,147.82,84.94,58497.31,0
Last Value,Y392,16.09,14.36,3652.32,0
Mean Value,Y392,101.03,66.96,15650.06,0
Random Walk,Y392,21.06,17.68,4576.21,0
Arima,Y392,8.43,8.92,1336.73,0
Theta,Y392,81.35,57.82,13403.4,0
Prophet,Y392,45.18,36.43,8704.75,0
Last Value,Y393,4.71,4.74,2732.22,0
Mean Value,Y393,52.24,41.36,24179.76,0
Random Walk,Y393,9.17,9.66,4605.39,0
Arima,Y393,5.06,5.25,2943.4,0
Theta,Y393,75.91,53.35,31549.13,0
Prophet,Y393,18.47,16.9,9879.35,0
Last Value,Y394,24.52,21.4,6277.22,0
Mean Value,Y394,115.67,73.21,20622.02,0
Random Walk,Y394,26.1,22.68,6146.71,0
Arima,Y394,12.86,11.94,2765.91,0
Theta,Y394,179.32,94.54,26534.9,0
Prophet,Y394,177.21,93.95,26369.87,0
Last Value,Y395,13.83,15.05,8434.11,0
Mean Value,Y395,113.53,72.28,44843.5,0
Random Walk,Y395,15.17,17.47,8395.13,0
Arima,Y395,22.73,28.75,15248.23,0
Theta,Y395,154.58,87.11,53834.49,0
Prophet,Y395,69.79,49.81,31742.59,0
Last Value,Y396,13.93,12.91,1952.91,0
Mean Value,Y396,44.22,35.98,5333.13,0
Random Walk,Y396,50.22,37.98,5789.73,0
Arima,Y396,13.63,12.65,1913.46,0
Theta,Y396,34.4,42.54,5999.02,0
Prophet,Y396,83.53,58.59,8641.53,0
Last Value,Y397,3.71,3.63,3492.11,0
Mean Value,Y397,72.11,52.98,50019.73,0
Random Walk,Y397,5.8,5.65,5341.69,0
Arima,Y397,3.59,3.66,1868.45,0
Theta,Y397,138.43,81.79,77086.55,0
Prophet,Y397,115.85,73.28,69135.92,0
Last Value,Y398,62.02,47.02,6974.13,0
Mean Value,Y398,12.23,11.3,1796.18,0
Random Walk,Y398,127.01,73.91,11167.57,0
Arima,Y398,87.51,60.11,8937.0,0
Theta,Y398,125.38,77.03,11238.22,0
Prophet,Y398,110.13,70.78,10399.06,0
Last Value,Y399,11.85,11.21,1604.45,0
Mean Value,Y399,60.25,46.08,6466.54,0
Random Walk,Y399,10.43,10.1,1252.24,0
Arima,Y399,5.45,5.79,565.26,0
Theta,Y399,57.46,41.75,6088.0,0
Prophet,Y399,38.99,32.46,4571.62,0
Last Value,Y400,7.04,6.74,4001.95,0
Mean Value,Y400,88.61,61.39,35849.43,0
Random Walk,Y400,6.02,5.62,2225.43,0
Arima,Y400,3.48,3.57,1889.49,0
Theta,Y400,166.09,90.72,52961.41,0
Prophet,Y400,130.27,78.83,45995.28,0
Last Value,Y401,31.62,26.75,6626.24,0
Mean Value,Y401,99.54,66.31,15829.96,0
Random Walk,Y401,31.71,26.88,6627.07,0
Arima,Y401,11.85,11.07,2123.02,0
Theta,Y401,121.5,75.58,17895.92,0
Prophet,Y401,124.23,76.55,18211.88,0
Last Value,Y402,9.93,9.2,10356.23,0
Mean Value,Y402,87.38,60.75,64662.0,0
Random Walk,Y402,24.4,20.98,23160.36,0
Arima,Y402,3.32,3.34,2496.45,0
Theta,Y402,127.29,77.77,82400.98,0
Prophet,Y402,128.23,78.1,82965.36,0
Last Value,Y403,14.61,13.34,4499.83,0
Mean Value,Y403,80.16,57.13,18532.51,0
Random Walk,Y403,13.3,12.35,3114.29,0
Arima,Y403,12.51,11.51,3904.55,0
Theta,Y403,149.1,85.42,27568.1,0
Prophet,Y403,81.03,56.68,18444.57,0
Last Value,Y404,26.13,22.61,20264.68,0
Mean Value,Y404,135.1,80.59,69017.92,0
Random Walk,Y404,29.96,25.18,22713.8,0
Arima,Y404,14.15,13.02,9434.61,0
Theta,Y404,181.48,95.14,81197.25,0
Prophet,Y404,99.43,65.15,56308.11,0
Last Value,Y405,15.81,14.44,5430.65,0
Mean Value,Y405,104.08,68.41,24995.36,0
Random Walk,Y405,14.72,13.5,5084.05,0
Arima,Y405,4.45,4.33,1025.89,0
Theta,Y405,178.32,94.27,34355.38,0
Prophet,Y405,149.27,85.41,31151.98,0
Last Value,Y406,5.14,5.41,841.96,0
Mean Value,Y406,100.76,66.98,10994.69,0
Random Walk,Y406,4.48,4.58,663.84,0
Arima,Y406,23.26,27.61,4380.83,0
Theta,Y406,175.36,93.43,15323.67,0
Prophet,Y406,143.87,83.6,13701.74,0
Last Value,Y407,4.2,4.22,604.97,0
Mean Value,Y407,69.02,51.28,7362.42,0
Random Walk,Y407,11.6,12.42,1368.3,0
Arima,Y407,4.18,4.2,602.92,0
Theta,Y407,133.16,79.94,11456.9,0
Prophet,Y407,113.78,72.44,10394.28,0
Last Value,Y408,58.58,44.07,10492.84,0
Mean Value,Y408,129.62,78.4,17711.33,0
Random Walk,Y408,68.54,49.23,11763.99,0
Arima,Y408,53.05,40.72,9746.52,0
Theta,Y408,162.0,89.47,19990.39,0
Prophet,Y408,118.08,73.92,16760.98,0
Last Value,Y409,4.79,4.57,3587.71,0
Mean Value,Y409,127.66,77.91,57962.23,0
Random Walk,Y409,14.43,13.16,9604.0,0
Arima,Y409,8.64,9.19,6654.72,0
Theta,Y409,186.66,96.55,71778.55,0
Prophet,Y409,184.07,95.85,71251.15,0
Last Value,Y410,18.58,16.43,14681.42,0
Mean Value,Y410,66.37,49.58,41824.1,0
Random Walk,Y410,11.75,10.9,7162.74,0
Arima,Y410,18.7,16.53,14762.98,0
Theta,Y410,81.12,57.7,48050.05,0
Prophet,Y410,53.06,41.26,35153.0,0
Last Value,Y411,14.15,13.54,11971.17,0
Mean Value,Y411,133.34,79.94,69832.42,0
Random Walk,Y411,13.77,13.14,10631.24,0
Arima,Y411,26.29,30.41,24101.5,0
Theta,Y411,194.76,99.91,87212.96,0
Prophet,Y411,85.68,59.79,52580.49,0
Last Value,Y412,7.84,7.95,2059.7,0
Mean Value,Y412,33.16,28.21,7680.24,0
Random Walk,Y412,16.88,18.57,4395.33,0
Arima,Y412,13.42,14.52,3339.43,0
Theta,Y412,22.12,20.79,5555.12,0
Prophet,Y412,48.78,38.92,10552.62,0
Last Value,Y413,10.74,10.41,2821.5,0
Mean Value,Y413,109.01,70.47,19038.07,0
Random Walk,Y413,32.04,27.12,7481.53,0
Arima,Y413,18.62,21.02,5106.81,0
Theta,Y413,165.8,90.64,24375.68,0
Prophet,Y413,145.44,84.19,22647.15,0
Last Value,Y414,63.45,47.87,6878.35,0
Mean Value,Y414,12.1,11.53,1722.17,0
Random Walk,Y414,74.54,53.1,7561.84,0
Arima,Y414,102.16,66.55,9599.54,0
Theta,Y414,124.84,76.82,10873.15,0
Prophet,Y414,107.76,69.78,9946.67,0
Last Value,Y415,10.31,9.58,2815.71,0
Mean Value,Y415,77.61,55.84,15709.7,0
Random Walk,Y415,11.08,10.09,2970.29,0
Arima,Y415,3.32,3.41,681.62,0
Theta,Y415,134.84,80.53,22548.42,0
Prophet,Y415,110.61,71.16,19976.75,0
Last Value,Y416,27.94,23.99,21480.49,0
Mean Value,Y416,135.31,80.66,69042.27,0
Random Walk,Y416,27.13,22.82,20804.11,0
Arima,Y416,15.28,14.0,10044.08,0
Theta,Y416,181.42,95.13,81123.25,0
Prophet,Y416,100.11,65.44,56577.44,0
Last Value,Y417,2.85,2.92,1098.43,0
Mean Value,Y417,35.16,29.86,11635.37,0
